SKU, Name, Supply Phase 1, Supply Phase 2 , Supply Phase 3, Supply Phase 4, Supply Phase 5 , LLC Pricing, Description, IsActive
78,Test 1 x 2 - 10' #2 Borate Treated,,,,,,"Atlanta|Austin",Test 1 x 2 - 10' #2 Borate Treated,Yes
79,1 x 4 - 10' #2 Borate Treated ,,,,,,,1 x 4 - 10' #2 Borate Treated ,Yes
80,1 x 4 - 12' #2 Borate Treated ,,,,,,,1 x 4 - 12' #2 Borate Treated ,Yes
81,1 x 4 - 16' #2 Borate Treated ,,,,,,,1 x 4 - 16' #2 Borate Treated ,Yes
82,2 x 4 - 8' #2 Borate Treated ,,,,,,,2 x 4 - 8' #2 Borate Treated ,Yes
83,2 x 4 - 10' #2 Borate Treated ,,,,,,,2 x 4 - 10' #2 Borate Treated ,Yes
84,2 x 4 - 12' #2 Borate Treated ,,,,,,,2 x 4 - 12' #2 Borate Treated ,Yes
85,2 x 4 - 14' #2 Borate Treated ,,,,,,,2 x 4 - 14' #2 Borate Treated ,Yes
86,2 x 4 - 16' #2 Borate Treated ,,,,,,,2 x 4 - 16' #2 Borate Treated ,Yes
87,2 x 6 - 8' #2 Borate Treated ,,,,,,,2 x 6 - 8' #2 Borate Treated ,Yes
88,2 x 6 - 10' #2 Borate Treated ,,,,,,,2 x 6 - 10' #2 Borate Treated ,Yes
89,2 x 6 - 12' #2 Borate Treated ,,,,,,,2 x 6 - 12' #2 Borate Treated ,Yes
90,2 x 6 - 14' #2 Borate Treated ,,,,,,,2 x 6 - 14' #2 Borate Treated ,Yes
91,2 x 6 - 16' #2 Borate Treated ,,,,,,,2 x 6 - 16' #2 Borate Treated ,Yes
92,2 x 8 - 8' #2 Borate Treated ,,,,,,,2 x 8 - 8' #2 Borate Treated ,Yes
93,2 x 8 - 10' #2 Borate Treated ,,,,,,,2 x 8 - 10' #2 Borate Treated ,Yes
94,2 x 8 - 12' #2 Borate Treated ,,,,,,,2 x 8 - 12' #2 Borate Treated ,Yes
95,1 x 2 - 8' #2 Borate Treated ,,,,,,,1 x 2 - 8' #2 Borate Treated ,Yes
96,2 x 4 - 8' #3 Borate Treated ,,,,,,,2 x 4 - 8' #3 Borate Treated ,Yes
97,2 x 4 - 10' #3 Borate Treated ,,,,,,,2 x 4 - 10' #3 Borate Treated ,Yes
98,2 x 4 - 12' #3 Borate Treated ,,,,,,,2 x 4 - 12' #3 Borate Treated ,Yes
99,2 x 4 - 14' #3 Borate Treated ,,,,,,,2 x 4 - 14' #3 Borate Treated ,Yes
100,2 x 4 - 16' #3 Borate Treated ,,,,,,,2 x 4 - 16' #3 Borate Treated ,Yes
101,2 x 6 - 8' #3 Borate Treated ,,,,,,,2 x 6 - 8' #3 Borate Treated ,Yes
102,2 x 6 - 10' #3 Borate Treated ,,,,,,,2 x 6 - 10' #3 Borate Treated ,Yes
103,2 x 6 - 12' #3 Borate Treated ,,,,,,,2 x 6 - 12' #3 Borate Treated ,Yes
104,2 x 6 - 14' #3 Borate Treated ,,,,,,,2 x 6 - 14' #3 Borate Treated ,Yes
105,2 x 6 - 16' #3 Borate Treated ,,,,,,,2 x 6 - 16' #3 Borate Treated ,Yes
106,2 x 8 - 8' #3 Borate Treated ,,,,,,,2 x 8 - 8' #3 Borate Treated ,Yes
107,2 x 8 - 10' #3 Borate Treated ,,,,,,,2 x 8 - 10' #3 Borate Treated ,Yes
108,2 x 8 - 12' #3 Borate Treated ,,,,,,,2 x 8 - 12' #3 Borate Treated ,Yes
109,2 x 2 R/L RS Cedar,,,,,,,2 x 2 R/L RS Cedar,Yes
110,"2 x 2 - 31"" Baluster Cedar",,,,,,,"2 x 2 - 31"" Baluster Cedar",Yes
111,2 x 4 - 8' RS Cedar,,,,,,,2 x 4 - 8' RS Cedar,Yes
112,2 x 4 - 10' RS Cedar,,,,,,,2 x 4 - 10' RS Cedar,Yes
113,2 x 4 - 12' RS Cedar,,,,,,,2 x 4 - 12' RS Cedar,Yes
114,2 x 4 - 14' RS Cedar,,,,,,,2 x 4 - 14' RS Cedar,Yes
115,2 x 4 - 16' RS Cedar,,,,,,,2 x 4 - 16' RS Cedar,Yes
116,2 x 4 - 18' RS Cedar,,,,,,,2 x 4 - 18' RS Cedar,Yes
117,2 x 4 - 20' RS Cedar,,,,,,,2 x 4 - 20' RS Cedar,Yes
118,2 x 6 - 8' RS Cedar,,,,,,,2 x 6 - 8' RS Cedar,Yes
119,2 x 6 - 10' RS Cedar,,,,,,,2 x 6 - 10' RS Cedar,Yes
120,2 x 6 - 12' RS Cedar,,,,,,,2 x 6 - 12' RS Cedar,Yes
121,2 x 6 - 14' RS Cedar,,,,,,,2 x 6 - 14' RS Cedar,Yes
122,2 x 6 - 16' RS Cedar,,,,,,,2 x 6 - 16' RS Cedar,Yes
123,2 x 6 - 18' RS Cedar,,,,,,,2 x 6 - 18' RS Cedar,Yes
124,2 x 6 - 20' RS Cedar,,,,,,,2 x 6 - 20' RS Cedar,Yes
125,2 x 8 - 8' RS Cedar,,,,,,,2 x 8 - 8' RS Cedar,Yes
126,2 x 8 - 10' RS Cedar,,,,,,,2 x 8 - 10' RS Cedar,Yes
127,2 x 8 - 12' RS Cedar,,,,,,,2 x 8 - 12' RS Cedar,Yes
128,2 x 8 - 14' RS Cedar,,,,,,,2 x 8 - 14' RS Cedar,Yes
129,2 x 8 - 16' RS Cedar,,,,,,,2 x 8 - 16' RS Cedar,Yes
130,2 x 8 - 18' RS Cedar,,,,,,,2 x 8 - 18' RS Cedar,Yes
131,2 x 8 - 20' RS Cedar,,,,,,,2 x 8 - 20' RS Cedar,Yes
132,2 x 12 - 18' RS Cedar,,,,,,,2 x 12 - 18' RS Cedar,Yes
133,2 x 4 R/L #2 Douglas Fir (12'-16'),,,,,,,2 x 4 R/L #2 Douglas Fir (12'-16'),Yes
134,2 x 4 - 8' #2 Douglas Fir,,,,,,,2 x 4 - 8' #2 Douglas Fir,Yes
135,2 x 4 - 10' #2 Douglas Fir,,,,,,,2 x 4 - 10' #2 Douglas Fir,Yes
136,2 x 4 - 12' #2 Douglas Fir,,,,,,,2 x 4 - 12' #2 Douglas Fir,Yes
137,2 x 4 - 14' #2 Douglas Fir,,,,,,,2 x 4 - 14' #2 Douglas Fir,Yes
138,2 x 4 - 16' #2 Douglas Fir,,,,,,,2 x 4 - 16' #2 Douglas Fir,Yes
139,2 x 4 - 18' #2 Douglas Fir,,,,,,,2 x 4 - 18' #2 Douglas Fir,Yes
140,2 x 4 - 20' #2 Douglas Fir,,,,,,,2 x 4 - 20' #2 Douglas Fir,Yes
141,2 x 6 R/L #2 Douglas Fir (12'-16'),,,,,,,2 x 6 R/L #2 Douglas Fir (12'-16'),Yes
142,2 x 6 - 8' #2 Douglas Fir,,,,,,,2 x 6 - 8' #2 Douglas Fir,Yes
143,2 x 6 - 10' #2 Douglas Fir,,,,,,,2 x 6 - 10' #2 Douglas Fir,Yes
144,2 x 6 - 12' #2 Douglas Fir,,,,,,,2 x 6 - 12' #2 Douglas Fir,Yes
145,2 x 6 - 14' #2 Douglas Fir,,,,,,,2 x 6 - 14' #2 Douglas Fir,Yes
146,2 x 6 - 16' #2 Douglas Fir,,,,,,,2 x 6 - 16' #2 Douglas Fir,Yes
147,2 x 6 - 18' #2 Douglas Fir,,,,,,,2 x 6 - 18' #2 Douglas Fir,Yes
148,2 x 6 - 20' #2 Douglas Fir,,,,,,,2 x 6 - 20' #2 Douglas Fir,Yes
149,2 x 6 - 22' #2 Douglas Fir,,,,,,,2 x 6 - 22' #2 Douglas Fir,Yes
150,2 x 6 - 24' #2 Douglas Fir,,,,,,,2 x 6 - 24' #2 Douglas Fir,Yes
151,2 x 8 - 8' #2 Douglas Fir,,,,,,,2 x 8 - 8' #2 Douglas Fir,Yes
152,2 x 8 - 10' #2 Douglas Fir,,,,,,,2 x 8 - 10' #2 Douglas Fir,Yes
153,2 x 8 - 12' #2 Douglas Fir,,,,,,,2 x 8 - 12' #2 Douglas Fir,Yes
154,2 x 8 - 14' #2 Douglas Fir,,,,,,,2 x 8 - 14' #2 Douglas Fir,Yes
155,2 x 8 - 16' #2 Douglas Fir,,,,,,,2 x 8 - 16' #2 Douglas Fir,Yes
156,2 x 8 - 18' #2 Douglas Fir,,,,,,,2 x 8 - 18' #2 Douglas Fir,Yes
157,2 x 8 - 20' #2 Douglas Fir,,,,,,,2 x 8 - 20' #2 Douglas Fir,Yes
158,2 x 8 - 22' #2 Douglas Fir,,,,,,,2 x 8 - 22' #2 Douglas Fir,Yes
